서비스_업종_코드_명,행정동_코드_명,cluster
고기집,금호1가동,2
고기집,금호2·3가동,0
고기집,금호4가동,2
고기집,마장동,0
고기집,사근동,0
고기집,성수1가1동,0
고기집,성수1가2동,0
고기집,성수2가1동,3
고기집,성수2가3동,1
고기집,송정동,0
고기집,옥수동,1
고기집,왕십리2동,2
고기집,왕십리도선동,1
고기집,용답동,3
고기집,응봉동,2
고기집,행당1동,1
고기집,행당2동,2
식료품,금호1가동,1
식료품,금호2·3가동,0
식료품,금호4가동,1
식료품,마장동,1
식료품,사근동,2
식료품,성수1가1동,2
식료품,성수1가2동,0
식료품,성수2가1동,0
식료품,성수2가3동,0
식료품,송정동,2
식료품,옥수동,1
식료품,왕십리2동,2
식료품,왕십리도선동,1
식료품,용답동,0
식료품,응봉동,1
식료품,행당1동,1
식료품,행당2동,2
베이커리,금호1가동,2
베이커리,금호2·3가동,1
베이커리,금호4가동,1
베이커리,마장동,1
베이커리,사근동,1
베이커리,성수1가1동,1
베이커리,성수1가2동,0
베이커리,성수2가1동,0
베이커리,성수2가3동,0
베이커리,송정동,1
베이커리,옥수동,2
베이커리,왕십리2동,1
베이커리,왕십리도선동,1
베이커리,용답동,0
베이커리,응봉동,2
베이커리,행당1동,0
베이커리,행당2동,1
술집,금호1가동,1
술집,금호2·3가동,1
술집,금호4가동,1
술집,마장동,1
술집,사근동,1
술집,성수1가1동,0
술집,성수1가2동,2
술집,성수2가1동,2
술집,성수2가3동,2
술집,송정동,1
술집,옥수동,1
술집,왕십리2동,1
술집,왕십리도선동,0
술집,용답동,0
술집,응봉동,1
술집,행당1동,1
술집,행당2동,0
양식음식점,금호1가동,0
양식음식점,금호2·3가동,0
양식음식점,금호4가동,2
양식음식점,마장동,0
양식음식점,사근동,0
양식음식점,성수1가1동,0
양식음식점,성수1가2동,0
양식음식점,성수2가1동,3
양식음식점,성수2가3동,1
양식음식점,송정동,0
양식음식점,옥수동,1
양식음식점,왕십리2동,0
양식음식점,왕십리도선동,2
양식음식점,용답동,3
양식음식점,응봉동,0
양식음식점,행당1동,1
양식음식점,행당2동,2
일식음식점,금호1가동,2
일식음식점,금호2·3가동,2
일식음식점,금호4가동,2
일식음식점,마장동,2
일식음식점,사근동,2
일식음식점,성수1가1동,0
일식음식점,성수1가2동,1
일식음식점,성수2가1동,1
일식음식점,성수2가3동,3
일식음식점,송정동,0
일식음식점,옥수동,2
일식음식점,왕십리2동,2
일식음식점,왕십리도선동,0
일식음식점,용답동,1
일식음식점,행당1동,2
일식음식점,행당2동,0
중식음식점,금호1가동,1
중식음식점,금호2·3가동,1
중식음식점,금호4가동,1
중식음식점,마장동,2
중식음식점,사근동,1
중식음식점,성수1가1동,0
중식음식점,성수1가2동,1
중식음식점,성수2가1동,1
중식음식점,성수2가3동,0
중식음식점,송정동,1
중식음식점,옥수동,1
중식음식점,왕십리2동,1
중식음식점,왕십리도선동,0
중식음식점,용답동,1
중식음식점,응봉동,2
중식음식점,행당1동,2
중식음식점,행당2동,1
패스트푸드,금호1가동,3
패스트푸드,금호2·3가동,1
패스트푸드,금호4가동,1
패스트푸드,마장동,3
패스트푸드,사근동,3
패스트푸드,성수1가1동,0
패스트푸드,성수1가2동,2
패스트푸드,성수2가1동,2
패스트푸드,성수2가3동,2
패스트푸드,송정동,1
패스트푸드,옥수동,3
패스트푸드,왕십리2동,2
패스트푸드,왕십리도선동,0
패스트푸드,용답동,2
패스트푸드,응봉동,3
패스트푸드,행당1동,3
패스트푸드,행당2동,1
한식음식점,금호1가동,1
한식음식점,금호2·3가동,0
한식음식점,금호4가동,0
한식음식점,마장동,0
한식음식점,사근동,0
한식음식점,성수1가1동,2
한식음식점,성수1가2동,0
한식음식점,성수2가1동,3
한식음식점,성수2가3동,1
한식음식점,송정동,0
한식음식점,옥수동,1
한식음식점,왕십리2동,0
한식음식점,왕십리도선동,2
한식음식점,용답동,3
한식음식점,응봉동,0
한식음식점,행당1동,1
한식음식점,행당2동,2
