ENCODED_MCT,dtw_cluster,HPSN_MCT_ZCD_NM
000F03E44A,3,중식-딤섬/중식만두
002816BA73,1,요리주점
003473B465,1,백반/가정식
003AC99735,2,커피전문점
0041E4E5AE,1,한식-찌개/전골
0050D68B18,2,룸살롱/단란주점
00646B6673,2,한식-냉면
0074C4990A,1,축산물
007BE37BA2,1,한식-단품요리일반
00803E9174,3,양식
80644746,1,요리주점
00A2CF886A,1,일반 유흥주점
00BC189C4B,1,한식-해물/생선
00CEAAD71A,0,포장마차
00DA1813DE,0,청과물
00F54829E1,2,카페
00F733C995,2,한식-육류/고기
00FDB35E9C,2,카페
011E53BB76,2,백반/가정식
012A64A73B,0,포장마차
014A6A2154,2,백반/가정식
01670CF403,1,베이커리
016C67D6C6,3,양식
01744C5370,1,한식-단품요리일반
0174C56C09,3,식료품
018DD7E495,2,중식당
019E31E4C6,1,양식
01AAD3CFFA,2,식료품
01AB37892D,1,축산물
01B82F195A,0,호프/맥주
01CCBE28E0,1,양식
01D70FA491,0,한식-국수/만두
01DB89157C,0,햄버거
01EBAA3D0F,2,샌드위치/토스트
01EDD97C21,1,커피전문점
01F74A3D59,2,치킨
01FD0FCC3D,3,카페
01FDC9FAEA,2,포장마차
02080D3457,0,양식
0220D6AA93,2,카페
022FF198C7,2,한식-국수/만두
023652A43E,2,한식-해물/생선
02377784A1,0,축산물
0239C4D2D3,0,백반/가정식
0255C174CC,2,한식-육류/고기
025B95F178,1,중식당
02621706D5,1,식료품
026EBC2ED1,2,동남아/인도음식
02826B57BE,3,축산물
0286E31425,1,백반/가정식
02886FCA36,1,이자카야
029F2B4A59,2,카페
02A32AE992,1,카페
02A5043FF7,2,한식-육류/고기
02B146CDF2,3,백반/가정식
02B9A2CC01,1,한식-육류/고기
02EECADFE6,3,카페
02FE4FD151,0,커피전문점
0305234DDB,1,식료품
0328418F66,2,백반/가정식
335548947,3,샌드위치/토스트
03360C97C5,0,호프/맥주
033F56E9A8,2,한식-국밥/설렁탕
035ADB2AA8,1,커피전문점
036B3FD49B,2,커피전문점
037D7CDBAE,2,일식당
03803D77FE,2,백반/가정식
039869F9F9,2,일식당
03A222EE9D,0,한식-단품요리일반
03A4C45CEB,1,한식-해물/생선
03A581D873,0,한식-단품요리일반
03BE2D577F,3,커피전문점
03C7EBD774,1,식료품
03DCE2BB5C,1,백반/가정식
0400611A92,0,백반/가정식
041B7CBFB0,2,베이커리
04393D7C92,2,한식-육류/고기
0487117D58,1,카페
