기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,업종_매핑
20191,11200535,왕십리도선동,CS100001,한식음식점,178,203,6,12,3,6,25,한식-단품요리일반
20191,11200535,왕십리도선동,CS100002,중식음식점,9,9,0,0,0,0,0,중식당
20191,11200535,왕십리도선동,CS100003,일식음식점,16,20,0,0,0,0,4,일식당
20191,11200535,왕십리도선동,CS100004,양식음식점,10,13,0,0,15,2,3,양식
20191,11200535,왕십리도선동,CS100005,제과점,12,18,6,1,0,0,6,베이커리
20191,11200535,왕십리도선동,CS100006,패스트푸드점,5,12,33,4,0,0,7,햄버거
20191,11200535,왕십리도선동,CS100007,치킨전문점,5,23,13,3,4,1,18,치킨
20191,11200535,왕십리도선동,CS100008,분식전문점,29,41,7,3,0,0,12,분식
20191,11200535,왕십리도선동,CS100009,호프-간이주점,57,62,3,2,2,1,5,호프/맥주
20191,11200535,왕십리도선동,CS100010,커피-음료,43,54,6,3,6,3,11,커피전문점
20191,11200535,왕십리도선동,CS300001,슈퍼마켓,28,38,0,0,0,0,10,식료품
20191,11200535,왕십리도선동,CS300002,편의점,7,25,0,0,0,0,18,식료품
20191,11200535,왕십리도선동,CS300005,주류도매,1,1,0,0,0,0,0,주류
20191,11200535,왕십리도선동,CS300006,미곡판매,7,7,0,0,0,0,0,식료품
20191,11200535,왕십리도선동,CS300007,육류판매,45,45,0,0,2,1,0,축산물
20191,11200535,왕십리도선동,CS300008,수산물판매,6,6,33,2,0,0,0,수산물
20191,11200535,왕십리도선동,CS300009,청과상,11,11,0,0,0,0,0,청과물
20191,11200535,왕십리도선동,CS300010,반찬가게,20,24,8,2,0,0,4,반찬
20191,11200540,마장동,CS100001,한식음식점,118,122,3,3,4,5,4,한식-단품요리일반
20191,11200540,마장동,CS100002,중식음식점,6,6,0,0,0,0,0,중식당
20191,11200540,마장동,CS100003,일식음식점,2,2,0,0,0,0,0,일식당
20191,11200540,마장동,CS100004,양식음식점,1,1,0,0,0,0,0,양식
20191,11200540,마장동,CS100005,제과점,0,4,0,0,0,0,4,베이커리
20191,11200540,마장동,CS100006,패스트푸드점,2,4,0,0,50,2,2,햄버거
20191,11200540,마장동,CS100007,치킨전문점,2,9,0,0,0,0,7,치킨
20191,11200540,마장동,CS100008,분식전문점,10,13,15,2,0,0,3,분식
20191,11200540,마장동,CS100009,호프-간이주점,19,22,0,0,9,2,3,호프/맥주
20191,11200540,마장동,CS100010,커피-음료,17,21,14,3,0,0,4,커피전문점
20191,11200540,마장동,CS300001,슈퍼마켓,32,36,0,0,6,2,4,식료품
20191,11200540,마장동,CS300002,편의점,1,13,8,1,0,0,12,식료품
20191,11200540,마장동,CS300005,주류도매,2,2,0,0,0,0,0,주류
20191,11200540,마장동,CS300006,미곡판매,3,3,33,1,0,0,0,식료품
20191,11200540,마장동,CS300007,육류판매,1559,1559,2,29,1,14,0,축산물
20191,11200540,마장동,CS300009,청과상,17,17,0,0,71,12,0,청과물
20191,11200540,마장동,CS300010,반찬가게,10,10,0,0,0,0,0,반찬
20191,11200550,사근동,CS100001,한식음식점,116,144,4,5,4,6,28,한식-단품요리일반
20191,11200550,사근동,CS100002,중식음식점,14,19,0,0,5,1,5,중식당
20191,11200550,사근동,CS100003,일식음식점,21,26,23,6,0,0,5,일식당
20191,11200550,사근동,CS100004,양식음식점,25,32,13,4,6,2,7,양식
20191,11200550,사근동,CS100005,제과점,1,8,13,1,25,2,7,베이커리
20191,11200550,사근동,CS100006,패스트푸드점,12,28,7,2,4,1,16,햄버거
20191,11200550,사근동,CS100007,치킨전문점,8,21,5,1,5,1,13,치킨
20191,11200550,사근동,CS100008,분식전문점,21,38,5,2,0,0,17,분식
20191,11200550,사근동,CS100009,호프-간이주점,61,69,0,0,3,2,8,호프/맥주
20191,11200550,사근동,CS100010,커피-음료,52,81,10,8,4,3,29,커피전문점
20191,11200550,사근동,CS300001,슈퍼마켓,14,18,0,0,11,2,4,식료품
20191,11200550,사근동,CS300002,편의점,10,34,9,3,0,0,24,식료품
20191,11200550,사근동,CS300006,미곡판매,2,2,0,0,0,0,0,식료품
20191,11200550,사근동,CS300007,육류판매,4,4,0,0,0,0,0,축산물
20191,11200550,사근동,CS300009,청과상,1,1,0,0,0,0,0,청과물
20191,11200550,사근동,CS300010,반찬가게,2,2,0,0,50,1,0,반찬
20191,11200580,응봉동,CS100001,한식음식점,9,9,0,0,0,0,0,한식-단품요리일반
20191,11200580,응봉동,CS100002,중식음식점,1,1,0,0,0,0,0,중식당
20191,11200580,응봉동,CS100004,양식음식점,1,1,0,0,0,0,0,양식
20191,11200580,응봉동,CS100005,제과점,0,1,0,0,0,0,1,베이커리
20191,11200580,응봉동,CS100006,패스트푸드점,1,2,0,0,0,0,1,햄버거
20191,11200580,응봉동,CS100007,치킨전문점,1,4,0,0,0,0,3,치킨
20191,11200580,응봉동,CS100008,분식전문점,6,6,0,0,0,0,0,분식
20191,11200580,응봉동,CS100009,호프-간이주점,5,6,0,0,0,0,1,호프/맥주
20191,11200580,응봉동,CS100010,커피-음료,7,9,11,1,0,0,2,커피전문점
20191,11200580,응봉동,CS300001,슈퍼마켓,14,14,7,1,0,0,0,식료품
20191,11200580,응봉동,CS300002,편의점,0,2,0,0,0,0,2,식료품
20191,11200580,응봉동,CS300006,미곡판매,1,1,0,0,0,0,0,식료품
20191,11200580,응봉동,CS300007,육류판매,2,2,0,0,0,0,0,축산물
20191,11200580,응봉동,CS300008,수산물판매,2,2,0,0,0,0,0,수산물
20191,11200580,응봉동,CS300009,청과상,3,3,0,0,0,0,0,청과물
20191,11200580,응봉동,CS300010,반찬가게,6,6,17,1,0,0,0,반찬
20191,11200590,금호1가동,CS100001,한식음식점,26,28,0,0,14,4,2,한식-단품요리일반
20191,11200590,금호1가동,CS100002,중식음식점,2,3,0,0,0,0,1,중식당
20191,11200590,금호1가동,CS100003,일식음식점,2,2,0,0,0,0,0,일식당
20191,11200590,금호1가동,CS100004,양식음식점,2,2,0,0,0,0,0,양식
20191,11200590,금호1가동,CS100005,제과점,2,3,0,0,0,0,1,베이커리
20191,11200590,금호1가동,CS100006,패스트푸드점,3,7,14,1,0,0,4,햄버거
20191,11200590,금호1가동,CS100007,치킨전문점,0,3,0,0,0,0,3,치킨
20191,11200590,금호1가동,CS100008,분식전문점,4,6,0,0,17,1,2,분식
20191,11200590,금호1가동,CS100009,호프-간이주점,7,8,0,0,13,1,1,호프/맥주
20191,11200590,금호1가동,CS100010,커피-음료,14,16,0,0,0,0,2,커피전문점
20191,11200590,금호1가동,CS300001,슈퍼마켓,10,13,8,1,8,1,3,식료품
20191,11200590,금호1가동,CS300002,편의점,0,3,0,0,0,0,3,식료품
20191,11200590,금호1가동,CS300005,주류도매,2,2,0,0,0,0,0,주류
20191,11200590,금호1가동,CS300006,미곡판매,3,3,0,0,0,0,0,식료품
20191,11200590,금호1가동,CS300007,육류판매,5,5,0,0,0,0,0,축산물
20191,11200590,금호1가동,CS300008,수산물판매,2,2,0,0,0,0,0,수산물
20191,11200590,금호1가동,CS300009,청과상,8,8,13,1,0,0,0,청과물
20191,11200590,금호1가동,CS300010,반찬가게,2,2,0,0,50,1,0,반찬
20191,11200615,금호2·3가동,CS100001,한식음식점,95,102,0,0,1,1,7,한식-단품요리일반
20191,11200615,금호2·3가동,CS100002,중식음식점,4,5,0,0,0,0,1,중식당
20191,11200615,금호2·3가동,CS100003,일식음식점,3,3,0,0,0,0,0,일식당
20191,11200615,금호2·3가동,CS100004,양식음식점,3,3,0,0,33,1,0,양식
20191,11200615,금호2·3가동,CS100005,제과점,3,7,29,2,14,1,4,베이커리
20191,11200615,금호2·3가동,CS100006,패스트푸드점,3,9,0,0,0,0,6,햄버거
